observation_date,NFCI
1973-01-05,-0.14897
1973-01-12,-0.04793
1973-01-19,0.08058
1973-01-26,0.23213
1973-02-02,0.40013
1973-02-09,0.57453
1973-02-16,0.74386
1973-02-23,0.89847
1973-03-02,1.02915
1973-03-09,1.13061
1973-03-16,1.20019
1973-03-23,1.24109
1973-03-30,1.25710
1973-04-06,1.25280
1973-04-13,1.23542
1973-04-20,1.21009
1973-04-27,1.18219
1973-05-04,1.15473
1973-05-11,1.13108
1973-05-18,1.11320
1973-05-25,1.10332
1973-06-01,1.10414
1973-06-08,1.11887
1973-06-15,1.14948
1973-06-22,1.19835
1973-06-29,1.26746
1973-07-06,1.35601
1973-07-13,1.46278
1973-07-20,1.58319
1973-07-27,1.71310
1973-08-03,1.84532
1973-08-10,1.97440
1973-08-17,2.09483
1973-08-24,2.20144
1973-08-31,2.28893
1973-09-07,2.35248
1973-09-14,2.38964
1973-09-21,2.40117
1973-09-28,2.38873
1973-10-05,2.35467
1973-10-12,2.30758
1973-10-19,2.25318
1973-10-26,2.20082
1973-11-02,2.15628
1973-11-09,2.12354
1973-11-16,2.10287
1973-11-23,2.08761
1973-11-30,2.06864
1973-12-07,2.03349
1973-12-14,1.97304
1973-12-21,1.88045
1973-12-28,1.75397
1974-01-04,1.59441
1974-01-11,1.41272
1974-01-18,1.21806
1974-01-25,1.02267
1974-02-01,0.83972
1974-02-08,0.68045
1974-02-15,0.55478
1974-02-22,0.47120
1974-03-01,0.43501
1974-03-08,0.44956
1974-03-15,0.51697
1974-03-22,0.63620
1974-03-29,0.80438
1974-04-05,1.01738
1974-04-12,1.27090
1974-04-19,1.55854
1974-04-26,1.87465
1974-05-03,2.21204
1974-05-10,2.56553
1974-05-17,2.92784
1974-05-24,3.28978
1974-05-31,3.64458
1974-06-07,3.98396
1974-06-14,4.29772
1974-06-21,4.57690
1974-06-28,4.81011
1974-07-05,4.98671
1974-07-12,5.10098
1974-07-19,5.15155
1974-07-26,5.14350
1974-08-02,5.08683
1974-08-09,4.99003
1974-08-16,4.86786
1974-08-23,4.72837
1974-08-30,4.58086
1974-09-06,4.42862
1974-09-13,4.27372
1974-09-20,4.11627
1974-09-27,3.95146
1974-10-04,3.77939
1974-10-11,3.59942
1974-10-18,3.41973
1974-10-25,3.24876
1974-11-01,3.09383
1974-11-08,2.96219
1974-11-15,2.85599
1974-11-22,2.77117
1974-11-29,2.70351
1974-12-06,2.64362
1974-12-13,2.58191
1974-12-20,2.51134
1974-12-27,2.42312
1975-01-03,2.31424
1975-01-10,2.18337
1975-01-17,2.03497
1975-01-24,1.87530
1975-01-31,1.71049
1975-02-07,1.54669
1975-02-14,1.39071
1975-02-21,1.24446
1975-02-28,1.10904
1975-03-07,0.98495
1975-03-14,0.87079
1975-03-21,0.76496
1975-03-28,0.66451
1975-04-04,0.56679
1975-04-11,0.47074
1975-04-18,0.37595
1975-04-25,0.28230
1975-05-02,0.19255
1975-05-09,0.10852
1975-05-16,0.03261
1975-05-23,-0.03381
1975-05-30,-0.08746
1975-06-06,-0.12794
1975-06-13,-0.15552
1975-06-20,-0.17185
1975-06-27,-0.17879
1975-07-04,-0.17889
1975-07-11,-0.17498
1975-07-18,-0.16918
1975-07-25,-0.16164
1975-08-01,-0.15228
1975-08-08,-0.14003
1975-08-15,-0.12463
1975-08-22,-0.10466
1975-08-29,-0.07992
1975-09-05,-0.05126
1975-09-12,-0.01922
1975-09-19,0.01495
1975-09-26,0.04854
1975-10-03,0.08017
1975-10-10,0.10620
1975-10-17,0.12561
1975-10-24,0.13742
1975-10-31,0.14080
1975-11-07,0.13434
1975-11-14,0.11758
1975-11-21,0.08999
1975-11-28,0.05128
1975-12-05,0.00155
1975-12-12,-0.05763
1975-12-19,-0.12416
1975-12-26,-0.19614
1976-01-02,-0.27098
1976-01-09,-0.34546
1976-01-16,-0.41632
1976-01-23,-0.48177
1976-01-30,-0.54039
1976-02-06,-0.59161
1976-02-13,-0.63466
1976-02-20,-0.67072
1976-02-27,-0.70009
1976-03-05,-0.72305
1976-03-12,-0.73911
1976-03-19,-0.74833
1976-03-26,-0.75000
1976-04-02,-0.74329
1976-04-09,-0.72788
1976-04-16,-0.70372
1976-04-23,-0.67218
1976-04-30,-0.63498
1976-05-07,-0.59480
1976-05-14,-0.55512
1976-05-21,-0.51958
1976-05-28,-0.49112
1976-06-04,-0.47268
1976-06-11,-0.46566
1976-06-18,-0.46953
1976-06-25,-0.48400
1976-07-02,-0.50672
1976-07-09,-0.53505
1976-07-16,-0.56625
1976-07-23,-0.59820
1976-07-30,-0.62843
1976-08-06,-0.65537
1976-08-13,-0.67840
1976-08-20,-0.69684
1976-08-27,-0.71050
1976-09-03,-0.71975
1976-09-10,-0.72485
1976-09-17,-0.72652
1976-09-24,-0.72531
1976-10-01,-0.72106
1976-10-08,-0.71495
1976-10-15,-0.70744
1976-10-22,-0.69861
1976-10-29,-0.68874
1976-11-05,-0.67928
1976-11-12,-0.67123
1976-11-19,-0.66586
1976-11-26,-0.66514
1976-12-03,-0.67005
1976-12-10,-0.68245
